data,close,volume
2012/12/26,76.39,12055 
2012/12/27,76.07,24204 
2012/12/28,77.19,25705 
2013/1/2,79.26,40647 
2013/1/3,80.37,44335 
2013/1/4,80.77,39502 
2013/1/7,79.97,42328 
2013/1/8,79.34,31218 
2013/1/9,79.57,26417 
2013/1/10,80.37,41234 
2013/1/11,80.37,22993 
2013/1/14,81.17,23575 
2013/1/15,79.97,36015 
2013/1/16,78.94,35496 
2013/1/17,79.02,40526 
2013/1/18,80.77,49874 
2013/1/21,79.97,17310 
2013/1/22,80.37,21946 
2013/1/23,80.37,30821 
2013/1/24,79.5,40653 
2013/1/25,78.78,48674 
2013/1/28,79.02,29190 
2013/1/29,80.37,36060 
2013/1/30,80.77,28862 
2013/1/31,80.77,42489 
2013/2/1,80.77,23211 
2013/2/4,81.96,35257 
2013/2/5,81.96,17896 
2013/2/6,83.55,32330 
2013/2/18,85.15,64345 
2013/2/19,85.15,22103 
2013/2/20,86.74,41921 
2013/2/21,85.15,30551 
2013/2/22,83.95,39577 
2013/2/23,85.15,10174 
2013/2/25,83.55,37216 
2013/2/26,82.36,38498 
2013/2/27,83.16,81358 
2013/3/1,83.55,35081 
2013/3/4,81.17,55265 
2013/3/5,82.76,56213 
2013/3/6,82.76,38026 
2013/3/7,81.96,20783 
2013/3/8,82.36,46036 
2013/3/11,81.17,36093 
2013/3/12,81.56,30064 
2013/3/13,83.16,57955 
2013/3/14,82.76,33067 
2013/3/15,81.96,35632 
2013/3/18,79.97,44188 
2013/3/19,79.57,50765 
2013/3/20,78.62,64024 
2013/3/21,78.54,58467 
2013/3/22,77.98,44937 
2013/3/25,79.18,25469 
2013/3/26,78.78,27220 
2013/3/27,79.97,29969 
2013/3/28,79.57,29558 
2013/3/29,79.97,19003 
2013/4/1,80.37,16374 
2013/4/2,79.97,22334 
2013/4/3,79.97,27097 
2013/4/8,78.38,58367 
2013/4/9,77.59,41316 
2013/4/10,78.22,36746 
2013/4/11,80.77,57867 
2013/4/12,79.97,19568 
2013/4/15,79.1,23440 
2013/4/16,79.97,35918 
2013/4/17,79.57,35897 
2013/4/18,79.5,33083 
2013/4/19,84.75,66950 
2013/4/22,86.34,72502 
2013/4/23,84.35,46146 
2013/4/24,84.35,35495 
2013/4/25,85.15,26287 
2013/4/26,86.34,36776 
2013/4/29,85.94,21092 
2013/4/30,87.13,34612 
2013/5/2,87.93,38796 
2013/5/3,87.53,36621 
2013/5/6,88.73,19393 
2013/5/7,89.52,22448 
2013/5/8,91.11,42509 
2013/5/9,91.51,27606 
2013/5/10,91.11,27536 
2013/5/13,91.11,18263 
2013/5/14,91.91,27855 
2013/5/15,91.51,29107 
2013/5/16,90.32,45770 
2013/5/17,90.32,19316 
2013/5/20,90.72,16882 
2013/5/21,89.52,17238 
2013/5/22,89.12,34068 
2013/5/23,85.94,46874 
2013/5/24,87.13,26736 
2013/5/27,89.12,19161 
2013/5/28,87.13,22762 
2013/5/29,88.33,16781 
2013/5/30,87.53,36121 
2013/5/31,87.13,37205 
2013/6/3,85.54,35834 
2013/6/4,86.74,27476 
2013/6/5,87.13,25581 
2013/6/6,85.54,34251 
2013/6/7,86.34,33085 
2013/6/10,86.34,21941 
